,Price,Style,Sqr Ft,Longitude,Latitude,Lot Size,Beds,Bath,Year Built,Price Sqr Ft,Last Sold Year,Last Sold For,Last Tax Assestment,Address,City,State,Zipcode,Property Type,Address Full,Days On Trulia
11,"$588,652",4 Beds / 2 Baths,"1,676 sqft",-87.59466,41.79488,"1,674 sqft",4.0,2.0,1964.0,,1997.0,"$230,000","$46,586"," 1303 E 55th St Chicago, IL 60615 ",Chicago,IL,60615,,"1303 E 55th St, Chicago, IL 60615",7.0
12,"$1,850,000",3 Beds / 3 Baths,"3,322 sqft",-80.158195,25.885002,"9,375 sqft",3.0,3.0,1960.0,$557/sqft,2019.0,"$1,300,000","$1,330,852"," 1922 NE 119th Rd North Miami, FL 33181 ",North Miami,FL,33181,,"1922 NE 119th Rd, North Miami, FL 33181",2.0
13,"$475,000",3 Beds / 4 Baths,"2,633 sqft",-95.52397,29.810993,"2,526 sqft",3.0,4.0,2018.0,$180/sqft,,,," 2120 Blalock Rd #D Houston, TX 77080 ",Houston,TX,77080,,"2120 Blalock Rd #D, Houston, TX 77080",3.0
14,"$199,000",5 Beds / 3 Baths,"4,310 sqft",-86.6883,33.581314,0.36 acres,5.0,3.0,1968.0,$46/sqft,2016.0,"$165,000","$19,060"," 724 Valley Dr Birmingham, AL 35206 ",Birmingham,AL,35206,,"724 Valley Dr, Birmingham, AL 35206",2.0
15,"$128,000",2 Beds / 2 Baths,908 sqft,-115.25341,36.177063,,2.0,2.0,1987.0,$141/sqft,2017.0,"$105,000","$24,697"," 7200 Pirates Cove Rd #2048 Las Vegas, NV 89145 ",Las Vegas,NV,89145,,"7200 Pirates Cove Rd #2048, Las Vegas, NV 89145",31.0
16,"$909,000",6 Beds / 5 Baths,"3,618 sqft",-122.27502,47.47081,"8,825 sqft",6.0,5.0,2007.0,$251/sqft,2007.0,"$709,000","$895,000"," 4616 S 148th St Tukwila, WA 98168 ",Tukwila,WA,98168,,"4616 S 148th St, Tukwila, WA 98168",23.0
17,"$239,000",4 Beds / 2 Baths,"2,160 sqft",-76.73132,39.32954,"6,955 sqft",4.0,2.0,1959.0,$111/sqft,2003.0,"$136,000","$195,633"," 6732 Wilmont Dr Baltimore, MD 21207 ",Baltimore,MD,21207,,"6732 Wilmont Dr, Baltimore, MD 21207",27.0
18,"$1,600,000",4 Beds / 3 Baths,"2,810 sqft",-122.35187,47.49251,0.86 acres,4.0,3.0,1943.0,$569/sqft,,,"$452,000"," 1240 SW 124th St Burien, WA 98146 ",Burien,WA,98146,,"1240 SW 124th St, Burien, WA 98146",64.0
19,"$249,800",1 Bed / 1 Bath,"10,200 sqft",-87.63699,41.918804,1.2 acres,1.0,1.0,1974.0,$24/sqft,1997.0,"$90,000","$23,442"," 2020 N Lincoln Park W #26H Chicago, IL 60614 ",Chicago,IL,60614,,"2020 N Lincoln Park W #26H, Chicago, IL 60614",
20,"$4,195,000",4 Beds / 5 Baths,"5,269 sqft",-95.434,29.751537,0.5 acres,4.0,5.0,1941.0,$796/sqft,,,," 3609 Inwood Dr Houston, TX 77019 ",Houston,TX,77019,,"3609 Inwood Dr, Houston, TX 77019",
21,"$140,000",3 Beds / 2 Baths,"1,097 sqft",-115.13427,36.10506,,3.0,2.0,1973.0,$128/sqft,,,," 1404 Santa Anita Dr #A Las Vegas, NV 89119 ",Las Vegas,NV,89119,,"1404 Santa Anita Dr #A, Las Vegas, NV 89119",42.0
22,"$225,000",1 Bed,475 sqft,-122.698654,45.4585,0.86 acres,1.0,,1920.0,$474/sqft,,,," 2008 SW Taylors Ferry Rd Portland, OR 97219 ",Portland,OR,97219,,"2008 SW Taylors Ferry Rd, Portland, OR 97219",180.0
23,"$186,000",2 Beds / 2 Baths,"1,099 sqft",-80.33362,25.779295,,2.0,2.0,1977.0,$169/sqft,2004.0,"$123,000","$145,000"," 8411 NW 8th St #409 Miami, FL 33126 ",Miami,FL,33126,,"8411 NW 8th St #409, Miami, FL 33126",5.0
24,"$689,000",4 Beds / 5 Baths,"4,064 sqft",-98.028046,30.282701,0.29 acres,4.0,5.0,2015.0,$170/sqft,,,," 16601 Leopold Trl Austin, TX 78738 ",Austin,TX,78738,,"16601 Leopold Trl, Austin, TX 78738",6.0
25,"$1,599,000",2 Beds / 3 Baths,"3,100 sqft",-73.98617,40.639908,"1,903 sqft",2.0,3.0,1915.0,$516/sqft,,,"$50,580"," 1317 40th St Brooklyn, NY 11218 ",Brooklyn,NY,11218,,"1317 40th St, Brooklyn, NY 11218",23.0
26,"$15,900",2 Beds / 2 Baths,"1,034 sqft",-91.06619,30.457212,1 acre,2.0,2.0,,$15/sqft,,,," 10625 Florida Blvd #25 Baton Rouge, LA 70815 ",Baton Rouge,LA,70815,,"10625 Florida Blvd #25, Baton Rouge, LA 70815",40.0
27,"$311,000",3 Beds / 2 Baths,"1,430 sqft",-80.45802,25.722292,,3.0,2.0,2007.0,$217/sqft,,,," 16320 SW 44th Way #16320 Miami, FL 33185 ",Miami,FL,33185,,"16320 SW 44th Way #16320, Miami, FL 33185",2.0
28,"$229,900",3 Beds / 1 Bath,"1,117 sqft",-89.323586,43.097244,"6,136 sqft",3.0,1.0,1955.0,$206/sqft,2007.0,"$150,000","$177,800"," 22 Schenk St Madison, WI 53714 ",Madison,WI,53714,,"22 Schenk St, Madison, WI 53714",13.0
29,"$310,000",3 Beds / 2 Baths,"1,507 sqft",-98.475426,29.42604,"6,578 sqft",3.0,2.0,1926.0,$206/sqft,,,," 520 Dawson St San Antonio, TX 78202 ",San Antonio,TX,78202,,"520 Dawson St, San Antonio, TX 78202",
30,"$395,000",3 Beds / 3 Baths,"2,147 sqft",-96.79832,32.95378,0.26 acres,3.0,3.0,1983.0,$184/sqft,,,," 14930 Cypress Hills Dr Dallas, TX 75248 ",Dallas,TX,75248,,"14930 Cypress Hills Dr, Dallas, TX 75248",2.0
31,"$1,680,000",2 Beds / 2 Baths,"1,430 sqft",-73.95742,40.73256,,2.0,2.0,1901.0,"$1,175/sqft",,,," 102 Huron St #2B Brooklyn, NY 11222 ",Brooklyn,NY,11222,,"102 Huron St #2B, Brooklyn, NY 11222",2.0
32,"$239,900",2 Beds / 2 Baths,"1,266 sqft",-115.28421,36.056778,"2,178 sqft",2.0,2.0,2004.0,$189/sqft,2015.0,"$146,000","$58,283"," 7227 Freedom Ring St Las Vegas, NV 89148 ",Las Vegas,NV,89148,,"7227 Freedom Ring St, Las Vegas, NV 89148",2.0
33,"$1,020,000",4 Beds / 4 Baths,"3,980 sqft",-86.87876,36.13401,0.88 acres,4.0,4.0,1953.0,$256/sqft,2017.0,"$300,000","$67,725"," 823 Summerly Dr Nashville, TN 37209 ",Nashville,TN,37209,,"823 Summerly Dr, Nashville, TN 37209",35.0
34,"$180,000",3 Beds / 2 Baths,"2,026 sqft",-106.22434,31.787916,"6,578 sqft",3.0,2.0,2010.0,$89/sqft,,,," 14304 Navajo Point Dr El Paso, TX 79938 ",El Paso,TX,79938,,"14304 Navajo Point Dr, El Paso, TX 79938",6.0
35,"$700,000",2 Beds / 3 Baths,"1,794 sqft",-80.19018,25.78467,,2.0,3.0,2007.0,$390/sqft,,,"$675,145"," 1040 Biscayne Blvd #2603 Miami, FL 33132 ",Miami,FL,33132,,"1040 Biscayne Blvd #2603, Miami, FL 33132",2.0
36,"$523,425",4 Beds / 3 Baths,"3,803 sqft",-81.043236,35.065968,0.25 acres,4.0,3.0,,$138/sqft,,,"$70,000"," 15108 Montage Ln Charlotte, NC 28278 ",Charlotte,NC,28278,,"15108 Montage Ln, Charlotte, NC 28278",3.0
37,"$275,000",2 Beds / 1 Bath,850 sqft,-73.87901,40.75713,,2.0,1.0,1952.0,$324/sqft,,,," 3242 89th St #C404 East Elmhurst, NY 11369 ",East Elmhurst,NY,11369,,"3242 89th St #C404, East Elmhurst, NY 11369",3.0
38,"$334,900",2 Beds / 2 Baths,"1,613 sqft",-115.280075,36.215687,"8,276 sqft",2.0,2.0,1989.0,$208/sqft,,,"$69,058"," 8513 Spyrun Dr Las Vegas, NV 89134 ",Las Vegas,NV,89134,,"8513 Spyrun Dr, Las Vegas, NV 89134",
39,"$309,900",3 Beds / 1 Bath,"1,069 sqft",-119.79021,39.517223,"6,098 sqft",3.0,1.0,1955.0,$290/sqft,2017.0,"$150,000","$22,337"," 1440 E Taylor St Reno, NV 89502 ",Reno,NV,89502,,"1440 E Taylor St, Reno, NV 89502",27.0
40,"$390,000",2 Beds / 1 Bath,"1,034 sqft",-118.25133,33.956833,"4,448 sqft",2.0,1.0,1925.0,$377/sqft,1995.0,"$105,000","$194,737"," 8814 Zamora Ave Los Angeles, CA 90002 ",Los Angeles,CA,90002,,"8814 Zamora Ave, Los Angeles, CA 90002",13.0
41,"$279,500",3 Beds / 2 Baths,"1,400 sqft",-76.256615,36.95279,4356 sqft,3.0,2.0,1920.0,$200/sqft,2007.0,"$255,000","$166,900"," 9526 1st View St Norfolk, VA 23503 ",Norfolk,VA,23503,,"9526 1st View St, Norfolk, VA 23503",43.0
42,"$50,000",2 Beds / 1 Bath,,-74.23278,40.750336,3920 sqft,2.0,1.0,1960.0,,,,," 40 Lanark Ave Newark, NJ 07106 ",Newark,NJ,7106,,"40 Lanark Ave, Newark, NJ 07106",40.0
43,"$230,000",5 Beds / 2 Baths,"3,500 sqft",-83.09685,42.380833,"6,098 sqft",5.0,2.0,1920.0,$66/sqft,2018.0,"$70,000","$32,600"," 1472 Longfellow St Detroit, MI 48206 ",Detroit,MI,48206,,"1472 Longfellow St, Detroit, MI 48206",
44,"$1,750,000",4 Beds / 4 Baths,"3,264 sqft",-73.94668,40.821762,"1,632 sqft",4.0,4.0,1899.0,$536/sqft,2000.0,"$265,000","$29,588"," 417 W 141st St New York, NY 10031 ",New York,NY,10031,,"417 W 141st St, New York, NY 10031",
45,"$650,000",2 Beds / 4 Baths,"1,639 sqft",-105.02013,39.752052,"1,195 sqft",2.0,4.0,2014.0,$397/sqft,2016.0,"$560,000","$42,380"," 2622 W 24th Ave #12 Denver, CO 80211 ",Denver,CO,80211,,"2622 W 24th Ave #12, Denver, CO 80211",6.0
46,"$429,900",5 Beds / 3 Baths,"3,136 sqft",-115.14844,35.997463,"5,663 sqft",5.0,3.0,2004.0,$137/sqft,2019.0,"$400,000","$124,030"," 680 Hidden Cellar Ct Las Vegas, NV 89183 ",Las Vegas,NV,89183,,"680 Hidden Cellar Ct, Las Vegas, NV 89183",
47,"$550,000",4 Beds / 4 Baths,"3,108 sqft",-96.779884,32.888397,0.32 acres,4.0,4.0,1971.0,$177/sqft,,,," 7331 Meadow Oaks Dr Dallas, TX 75230 ",Dallas,TX,75230,,"7331 Meadow Oaks Dr, Dallas, TX 75230",42.0
48,"$299,900",3 Beds / 4 Baths,"2,036 sqft",-93.16547,44.723625,,3.0,4.0,2007.0,$147/sqft,2008.0,"$220,000","$245,200"," 15644 Cobblestone Lake Pkwy #1102 Apple Valley, MN 55124 ",Apple Valley,MN,55124,,"15644 Cobblestone Lake Pkwy #1102, Apple Valley, MN 55124",4.0
49,"$195,000",3 Beds / 3 Baths,"1,503 sqft",-95.61434,29.707987,"4,369 sqft",3.0,3.0,2001.0,$130/sqft,,,," 6522 Garden Trail Ct Houston, TX 77072 ",Houston,TX,77072,,"6522 Garden Trail Ct, Houston, TX 77072",32.0
50,"$42,500",2 Beds / 1 Bath,999 sqft,-89.93835,35.180725,"6,273 sqft",2.0,1.0,1948.0,$43/sqft,,,"$4,825"," 3622 N Lloyd Cir Memphis, TN 38108 ",Memphis,TN,38108,,"3622 N Lloyd Cir, Memphis, TN 38108",4.0
51,Contact For Estimate,4 Beds / 2 Baths,"1,190 sqft",-93.16014,44.735634,0.34 acres,4.0,2.0,1976.0,,2001.0,"$171,500","$294,300"," 14729 Dory Ct Apple Valley, MN 55124 ",Apple Valley,MN,55124,,"14729 Dory Ct, Apple Valley, MN 55124",
52,Contact For Estimate,3 Beds / 1 Bath,979 sqft,-82.978935,40.036694,"6,970 sqft",3.0,1.0,1950.0,,2010.0,"$77,500","$23,210"," 1321 Carolyn Ave Columbus, OH 43224 ",Columbus,OH,43224,,"1321 Carolyn Ave, Columbus, OH 43224",39.0
53,"$96,365",2 Beds / 2 Baths,896 sqft,-115.102875,36.22349,436 sqft,2.0,2.0,1982.0,,2015.0,"$200,000","$17,696"," 3505 Rio Robles Dr #A North Las Vegas, NV 89030 ",North Las Vegas,NV,89030,,"3505 Rio Robles Dr #A, North Las Vegas, NV 89030",13.0
54,"$149,900",3 Beds / 1 Bath,"1,000 sqft",-87.69072,41.733047,3101 sqft,3.0,1.0,1950.0,$150/sqft,,,," 8819 S Fairfield Ave Evergreen Pk, IL 60805 ",Evergreen Pk,IL,60805,,"8819 S Fairfield Ave, Evergreen Pk, IL 60805",90.0
55,"$19,900",3 Beds / 1 Bath,"1,353 sqft",-83.15481,42.411,"4,356 sqft",3.0,1.0,1928.0,$15/sqft,2015.0,"$60,300","$10,200"," 16185 Cherrylawn St Detroit, MI 48221 ",Detroit,MI,48221,,"16185 Cherrylawn St, Detroit, MI 48221",23.0
56,"$169,002",2 Beds / 1.5 Baths,"1,535 sqft",-89.88728,35.089115,"9,060 sqft",2.0,1.5,1958.0,,2007.0,"$132,900","$30,225"," 5243 Quince Rd Memphis, TN 38117 ",Memphis,TN,38117,,"5243 Quince Rd, Memphis, TN 38117",41.0
57,"$389,900",4 Beds / 4 Baths,"2,668 sqft",-76.42185,36.817123,0.52 acres,4.0,4.0,1984.0,$146/sqft,,,"$306,900"," 2025 Armada Dr Chesapeake, VA 23321 ",Chesapeake,VA,23321,,"2025 Armada Dr, Chesapeake, VA 23321",4.0
58,"$69,900",,,-119.657845,39.38364,10.00 acres,,,,,,,," 3260 Cartwright Rd #326 Reno, NV 89521 ",Reno,NV,89521,,"3260 Cartwright Rd #326, Reno, NV 89521",
59,"$38,000",4 Beds / 1 Bath,"1,200 sqft",-83.22879,42.35527,"5,227 sqft",4.0,1.0,1941.0,$32/sqft,2009.0,"$8,500",$400," 8483 Piedmont St Detroit, MI 48228 ",Detroit,MI,48228,,"8483 Piedmont St, Detroit, MI 48228",34.0
60,"$359,900",4 Beds / 3 Baths,"2,024 sqft",-79.9627,40.393326,0.32 acres,4.0,3.0,2008.0,$178/sqft,2013.0,"$246,450","$224,900"," 1128 Camarta Dr Pittsburgh, PA 15227 ",Pittsburgh,PA,15227,,"1128 Camarta Dr, Pittsburgh, PA 15227",
61,"$484,900",3 Beds / 3 Baths,"2,228 sqft",-86.78062,36.209988,"7,450 sqft",3.0,3.0,2020.0,$218/sqft,2018.0,"$67,000","$10,625"," 1255 N Avondale Cir Nashville, TN 37207 ",Nashville,TN,37207,,"1255 N Avondale Cir, Nashville, TN 37207",27.0
62,"$239,900",3 Beds / 2 Baths,"1,512 sqft",-81.331894,28.507046,"8,396 sqft",3.0,2.0,1958.0,$159/sqft,2014.0,"$145,000","$131,935"," 4305 Kildaire Ave Orlando, FL 32812 ",Orlando,FL,32812,,"4305 Kildaire Ave, Orlando, FL 32812",41.0
63,"$219,777",3 Beds / 2 Baths,"1,682 sqft",-93.05042,44.991734,"6,795 sqft",3.0,2.0,1982.0,$131/sqft,,,"$180,500"," 1178 Larpenteur Ave E Maplewood, MN 55109 ",Maplewood,MN,55109,,"1178 Larpenteur Ave E, Maplewood, MN 55109",
64,"$149,000",3 Beds / 1 Bath,"1,250 sqft",-87.6863,41.774372,"3,750 sqft",3.0,1.0,1922.0,$119/sqft,2012.0,"$20,000","$10,168"," 6540 S Campbell Ave Chicago, IL 60629 ",Chicago,IL,60629,,"6540 S Campbell Ave, Chicago, IL 60629",6.0
65,"$245,000",,,-76.64275,39.412926,0.43 acres,,,,,,,," 8115 Bellona Ave Towson, MD 21204 ",Towson,MD,21204,,"8115 Bellona Ave, Towson, MD 21204",7.0
66,"$304,870",4 Beds / 3 Baths,"2,265 sqft",-98.79119,29.411434,6098 sqft,4.0,3.0,2020.0,$135/sqft,,,," 2035 Atticus Dr San Antonio, TX 78245 ",San Antonio,TX,78245,,"2035 Atticus Dr, San Antonio, TX 78245",2.0
67,"$214,900",2 Beds / 2 Baths,"1,058 sqft",-76.2941,36.865402,,2.0,2.0,1984.0,$203/sqft,2011.0,"$195,000","$196,400"," 1300 Stockley Gdns #207 Norfolk, VA 23517 ",Norfolk,VA,23517,,"1300 Stockley Gdns #207, Norfolk, VA 23517",44.0
68,"$299,000",3 Beds / 4 Baths,"2,100 sqft",-95.48681,29.802046,"1,407 sqft",3.0,4.0,2001.0,$142/sqft,,,," 1739 French Village Dr Houston, TX 77055 ",Houston,TX,77055,,"1739 French Village Dr, Houston, TX 77055",30.0
69,"$1,850,000",4 Beds / 3 Baths,"2,372 sqft",-117.2505,32.84869,0.52 acres,4.0,3.0,1955.0,$780/sqft,,,"$239,338"," 2449 Ardath Rd La Jolla, CA 92037 ",La Jolla,CA,92037,,"2449 Ardath Rd, La Jolla, CA 92037",4.0
70,"$124,900",3 Beds / 2 Baths,"1,362 sqft",-95.82315,36.136017,"6,882 sqft",3.0,2.0,1985.0,$92/sqft,2019.0,"$78,000","$9,626"," 1856 S 138th East Ave Tulsa, OK 74108 ",Tulsa,OK,74108,,"1856 S 138th East Ave, Tulsa, OK 74108",7.0
71,"$299,900",4 Beds / 3 Baths,"1,110 sqft",-87.80479,41.94253,"3,810 sqft",4.0,3.0,1954.0,$270/sqft,,,"$25,736"," 3428 N Nottingham Ave Chicago, IL 60634 ",Chicago,IL,60634,,"3428 N Nottingham Ave, Chicago, IL 60634",2.0
72,"$69,900",2 Beds / 2 Baths,"1,300 sqft",-87.62187,41.79026,"4,044 sqft",2.0,2.0,1901.0,$54/sqft,2006.0,"$118,000","$12,174"," 5727 S Michigan Ave #G Chicago, IL 60637 ",Chicago,IL,60637,,"5727 S Michigan Ave #G, Chicago, IL 60637",44.0
73,"$188,000",2 Beds / 2 Baths,"1,005 sqft",-115.29325,36.1413,"4,015 sqft",2.0,2.0,1989.0,$187/sqft,2008.0,"$129,900","$41,833"," 2781 Ferrin Rd #0 Las Vegas, NV 89117 ",Las Vegas,NV,89117,,"2781 Ferrin Rd #0, Las Vegas, NV 89117",
74,"$275,000",4 Beds / 3 Baths,"1,511 sqft",-115.12035,36.135082,"7,405 sqft",4.0,3.0,1965.0,$182/sqft,2011.0,"$42,000","$35,075"," 2282 Capistrano Ave Las Vegas, NV 89169 ",Las Vegas,NV,89169,,"2282 Capistrano Ave, Las Vegas, NV 89169",
75,"$482,000+",3 Beds / 3.5 Baths,"2,171 sqft",-84.401596,33.747925,,3.0,3.5,,$222/sqft,,,," Kensington Plan in Castleberry Station by Brock Built Atlanta, GA 30313 ",Atlanta,GA,30313,,"Kensington Plan in Castleberry Station, Atlanta, GA 30313",42.0
76,"$374,900",4 Beds / 2 Baths,"2,236 sqft",-116.31372,43.573467,0.91 acres,4.0,2.0,1973.0,$168/sqft,,,," 10570 W Roan Meadows Dr Boise, ID 83709 ",Boise,ID,83709,,"10570 W Roan Meadows Dr, Boise, ID 83709",
77,"$129,000",4 Beds / 2 Baths,"1,581 sqft",-78.843056,42.975014,"7,000 sqft",4.0,2.0,1952.0,$82/sqft,,,"$47,200"," 265 Harrison Ave Buffalo, NY 14223 ",Buffalo,NY,14223,,"265 Harrison Ave, Buffalo, NY 14223",6.0
78,"$275,500",4 Beds / 3 Baths,"2,648 sqft",-95.662415,29.905867,"8,124 sqft",4.0,3.0,2004.0,$104/sqft,,,," 16606 Crystal View Cir Houston, TX 77095 ",Houston,TX,77095,,"16606 Crystal View Cir, Houston, TX 77095",40.0
79,"$1,574,900",4 Beds / 5 Baths,"2,244 sqft",-73.90639,40.910446,"10,120 sqft",4.0,5.0,1945.0,$702/sqft,,,"$48,946"," 6015 Independence Ave Bronx, NY 10471 ",Bronx,NY,10471,,"6015 Independence Ave, Bronx, NY 10471",44.0
80,"$339,000",4 Beds / 3 Baths,"1,863 sqft",-80.00367,40.52591,0.88 acres,4.0,3.0,1913.0,$182/sqft,,,"$187,700"," 205 Houston Rd Pittsburgh, PA 15237 ",Pittsburgh,PA,15237,,"205 Houston Rd, Pittsburgh, PA 15237",12.0
81,"$589,000",2 Beds / 2 Baths,"1,325 sqft",-117.85139,33.66742,,2.0,2.0,2006.0,$445/sqft,2016.0,"$465,000","$486,907"," 2236 Scholarship Irvine, CA 92612 ",Irvine,CA,92612,,"2236 Scholarship, Irvine, CA 92612",38.0
82,"$37,000",3 Beds / 3 Baths,"1,230 sqft",-90.015564,35.081703,"9,060 sqft",3.0,3.0,1950.0,$30/sqft,,,"$13,640"," 2338 E Ewarren St Needmore, TN 17238 ",Needmore,TN,17238,,"2338 E Ewarren St, Needmore, TN 17238",47.0
83,"$329,000",5 Beds / 3 Baths,"2,420 sqft",-97.304855,35.312714,1.00 acres,5.0,3.0,2016.0,$136/sqft,2017.0,"$321,000","$37,364"," 12780 Arbor Meadows Ln Oklahoma City, OK 73165 ",Oklahoma City,OK,73165,,"12780 Arbor Meadows Ln, Oklahoma City, OK 73165",9.0
84,"$329,000",4 Beds / 3 Baths,"2,001 sqft",-76.131744,36.79462,5181 sqft,4.0,3.0,1982.0,$164/sqft,2010.0,"$218,000","$267,400"," 1400 Palmer St Virginia Beach, VA 23456 ",Virginia Beach,VA,23456,,"1400 Palmer St, Virginia Beach, VA 23456",41.0
85,"$179,900",3 Beds / 2 Baths,"1,440 sqft",-81.92196,41.389603,0.35 acres,3.0,2.0,1975.0,$125/sqft,2017.0,"$95,000","$47,080"," 26901 Southwood Ln Olmsted Township, OH 44138 ",Olmsted Township,OH,44138,,"26901 Southwood Ln, Olmsted Township, OH 44138",42.0
86,"$260,950+",4 Beds / 3 Baths,"2,525 sqft",-101.95792,33.519787,,4.0,3.0,,$103/sqft,,,," New Lady 2525 TexasTraditional Plan in Windstone at Upland by Betenbough Homes Lubbock, TX 79424 ",Lubbock,TX,79424,,"New Lady 2525 TexasTraditional Plan in Windstone at Upland, Lubbock, TX 79424",69.0
87,Contact For Estimate,4 Beds / 3 Baths,"2,285 sqft",-96.71918,32.915237,"8,810 sqft",4.0,3.0,1979.0,,,,," 10130 Cherry Tree Dr Dallas, TX 75243 ",Dallas,TX,75243,,"10130 Cherry Tree Dr, Dallas, TX 75243",
88,"$240,000",3 Beds / 2 Baths,"1,737 sqft",-96.588715,32.95427,"9,348 sqft",3.0,2.0,2002.0,$138/sqft,,,," 3703 Concord Dr Sachse, TX 75048 ",Sachse,TX,75048,,"3703 Concord Dr, Sachse, TX 75048",7.0
89,"$17,000",1 Bed / 1 Bath,850 sqft,-87.5911,41.80692,,1.0,1.0,1967.0,$20/sqft,,,," 4850 S Lake Park Ave #1103 Chicago, IL 60615 ",Chicago,IL,60615,,"4850 S Lake Park Ave #1103, Chicago, IL 60615",47.0
90,"$84,000",3 Beds / 2 Baths,"1,181 sqft",-98.38458,29.434542,"8,886 sqft",3.0,2.0,1980.0,$71/sqft,,,," 802 Peggy Dr San Antonio, TX 78219 ",San Antonio,TX,78219,,"802 Peggy Dr, San Antonio, TX 78219",
91,"$299,350",5 Beds / 4 Baths,"2,710 sqft",-98.740974,29.541613,4791 sqft,5.0,4.0,2019.0,$110/sqft,,,," 8535 Knapp Rise San Antonio, TX 78254 ",San Antonio,TX,78254,,"8535 Knapp Rise, San Antonio, TX 78254",30.0
92,"$279,000",1 Bed / 1 Bath,775 sqft,-73.96466,40.576027,,1.0,1.0,1959.0,$360/sqft,,,," 3111 Brighton 2 St #2G Brooklyn, NY 11235 ",Brooklyn,NY,11235,,"3111 Brighton 2 St #2G, Brooklyn, NY 11235",36.0
93,"$355,000",2 Beds / 3 Baths,"1,503 sqft",-75.18429,39.938583,,2.0,3.0,2019.0,$236/sqft,,,," 2419 Federal St #3 Philadelphia, PA 19146 ",Philadelphia,PA,19146,,"2419 Federal St #3, Philadelphia, PA 19146",27.0
94,"$270,000",5 Beds / 4 Baths,"3,053 sqft",-85.116615,41.18811,0.33 acres,5.0,4.0,1980.0,$88/sqft,,,," 2013 Ransom Dr Fort Wayne, IN 46845 ",Fort Wayne,IN,46845,,"2013 Ransom Dr, Fort Wayne, IN 46845",
